calendar_years,acara_sml_id,acara_sml_school_name,suburb,address,post_code,state,school_sector_code_desc,school_type_code_desc,year_range,total_enrollments,fte_total_enrollments,total_female_enrollments,total_male_enrollments,campus_type_code,school_url,latitude,longitude,street_lat,street_lon,geo_formatted_address,geo_suburb,geo_reliability,geo_supplier,atlas_suburb_id
2013,40026,Star of the Sea Catholic College,GEORGE TOWN,CNR FRIEND AND WILLIAM STREETS,7253,TAS,C,Combined," U, Prep-10",160,160,94,66,G,http://www.starofthesea.cc,-41.107716,146.828928,-41.107716,146.828928,"Star of the Sea Catholic College, 2-6 William Street, George Town TAS 7253, Australia",GEORGE TOWN,3,Google,
2013,40027,Stella Maris Catholic School,BURNIE,24-26 FUTUNA AVE,7320,TAS,C,Primary," U, Prep-6",383,383,190,193,G,http://stellamaris.tas.edu.au,-41.051316,145.88754,-41.051526,145.887456,"26 FUTUNA AV, PARK GROVE, TAS 7320",PARK GROVE,2,Sensis,
2013,50113,Papunya School,PAPUNYA,N/A,0872,NT,G,Combined," U, P-11",86,86,44,42,G,,-23.203145,131.910344,-23.203145,131.910344,"PAPUNYA, NT, 0872",PAPUNYA,7,Manual,
2013,40028,The Friends School,NORTH HOBART,23 COMMERCIAL RD,7000,TAS,I,Combined," U, Prep-12",1265,1265,616,649,G,http://www.friends.tas.edu.au,-42.869307,147.313289,-42.869667,147.312765,"23 COMMERCIAL RD, NORTH HOBART, TAS 7000",NORTH HOBART,2,Sensis,
2013,40029,The Hutchins School,SANDY BAY,71 NELSON RD,7005,TAS,I,Combined," U, Prep-12",954,954,,954,G,http://www.hutchins.tas.edu.au,-42.905804,147.330272,-42.905356,147.329843,"71 NELSON RD, SANDY BAY, TAS 7005",SANDY BAY,2,Sensis,
2013,40030,The Cottage School,BELLERIVE,4-10 QUEEN ST,7018,TAS,I,Primary," U, Prep-6",68,68,32,36,G,http://www.cottageschool.tas.edu.au,-42.87562,147.367716,-42.875803,147.367578,"10 QUEEN ST, BELLERIVE, TAS 7018",BELLERIVE,2,Sensis,
2013,40031,Launceston Christian School,LAUNCESTON,452A WEST TAMAR RD,7250,TAS,I,Combined," U, Prep-12",571,570.4,282,289,G,http://www.lcs.tas.edu.au,-41.4019257,147.0895855,-41.4019257,147.0895855,"Launceston Christian School, Riverside TAS 7250, Australia",RIVERSIDE,3,Google,
2013,40032,Leighland Christian School,ULVERSTONE,LEIGHLANDS AVE,7315,TAS,I,Combined," U, Prep-12",586,584.7,272,314,H,http://www.leighland.tas.edu.au,-41.153357,146.194932,-41.153357,146.194932,"Leighland Christian School, 45A Leighlands Avenue, Ulverstone TAS 7315, Australia",ULVERSTONE,3,Google,
2013,40033,North West Christian School,PENGUIN,OFF LING ST,7316,TAS,I,Combined," U, Prep-10",66,65.2,36,30,G,http://northwest.adventist.edu.au,-41.1229391,146.0798863,-41.1229391,146.0798863,"North West Christian School, Penguin TAS 7316, Australia",PENGUIN,3,Google,
2013,40035,St Michael's Collegiate School,HOBART,218 MACQUARIE ST,7000,TAS,I,Combined," U, Prep-12",726,726,726,,G,http://www.collegiate.tas.edu.au,-42.888401,147.323769,-42.887973,147.323423,"212-218 MACQUARIE ST, HOBART, TAS 7000",HOBART,2,Sensis,
2013,40036,Scotch Oakburn College,NEWSTEAD,85 PENQUITE RD,7250,TAS,I,Combined," U, Prep-12",1014,1014,503,511,H,http://www.soc.tas.edu.au,-41.448544,147.169051,-41.449335,147.168348,"85-107 PENQUITE RD, NEWSTEAD, TAS 7250",NEWSTEAD,2,Sensis,
2013,40037,John Paul II Catholic School,CLARENDON VALE,161 MOCKRIDGE RD,7019,TAS,C,Primary," U, Prep-6",139,138,66,73,G,http://www.johnpaul.tas.edu.au,-42.894514,147.446718,-42.89539,147.446015,"161 MOCKRIDGE RD, ROKEBY, TAS 7019",ROKEBY,2,Sensis,
2013,40038,The Launceston Preparatory School,LAUNCESTON,117-119 ELPHIN RD,7250,TAS,I,Primary," U, Prep-6",103,103,49,54,G,http://www.lps.tas.edu.au,-41.437464,147.158303,-41.437698,147.158008,"119 ELPHIN RD, NEWSTEAD, TAS 7250",NEWSTEAD,2,Sensis,
2013,40039,Eastside Lutheran College,WARRANE,FLAGSTAFF GULLY ROAD,7018,TAS,I,Combined," U, Prep-10",91,91,34,57,G,http://www.elc.tas.edu.au,-42.852496,147.383032,-42.852496,147.383032,"Eastside Lutheran College, 4D Bounty Street, Warrane TAS 7018, Australia",WARRANE,3,Google,
2013,40041,St Thomas More's Catholic School,NEWSTEAD,125 ABBOTT ST,7250,TAS,C,Primary," U, Prep-6",264,263.2,136,128,G,http://www.stm.tas.edu.au,-41.444951,147.156848,-41.445511,147.156119,"125 ABBOTT ST, NEWSTEAD, TAS 7250",NEWSTEAD,2,Sensis,
2013,40042,St Paul's Catholic School,BRIDGEWATER,PAICE ST,7030,TAS,C,Primary," U, Prep-6",182,182,81,101,G,http://www.stpauls.tas.edu.au,-42.7380308,147.2481051,-42.7380308,147.2481051,"St Paul's School, Bridgewater TAS 7030, Australia",BRIDGEWATER,3,Google,
2013,40043,Circular Head Christian School,SMITHTON,48 NELSON STREET,7330,TAS,I,Combined," U, Prep-12",345,344.5,168,177,G,http://www.chcs.tas.edu.au,-40.849676,145.118344,-40.850271,145.120004,"48 NELSON ST, SMITHTON, TAS 7330",SMITHTON,2,Sensis,
2013,40044,Southern Christian College,KINGSTON,150 REDWOOD RD,7050,TAS,I,Combined," U, Prep-10",178,177.4,84,94,G,http://www.scc.tas.edu.au,-42.98976,147.309039,-42.99086,147.307679,"150 REDWOOD RD, KINGSTON, TAS 7050",KINGSTON,2,Sensis,
2013,40045,Brooks High School,ROCHERLEA,215 GEORGE TOWN RD,7248,TAS,G,Secondary, 7-12,532,532,269,263,G,,-41.377753,147.122126,-41.375937,147.122901,"215 GEORGE TOWN RD, ROCHERLEA, TAS 7248",ROCHERLEA,2,Sensis,
2013,40046,Flinders Island District High School,WHITEMARK,121 THULE ROAD WHITEMARK,7255,TAS,G,Combined, K-12,71,68.8,27,44,G,https://education.tas.edu.au/flindersislanddistricthigh/Pages/Home.aspx,-40.1202414,148.0156993,-40.1202414,148.0156993,"Whitemark TAS 7255, Australia",Whitemark,7,Google,
2013,40047,Lilydale District School,LILYDALE,MAIN ROAD,7268,TAS,G,Combined, K-12,427,407.1,193,234,G,https://education.tas.edu.au/lilydale/Pages/default.aspx,-41.2519203,147.2137405,-41.2519203,147.2137405,"Lilydale District School, Lilydale TAS 7268, Australia",LILYDALE,3,Google,
2013,40048,Ravenswood Heights Primary School,RAVENSWOOD,PROSSERS FOREST ROAD,7250,TAS,G,Primary, K-6,286,267.2,135,151,G,http://education.tas.edu.au/ravenswoodheightsprimary/,-41.413903936,147.184775391,-41.413903936,147.184775391,"PROSSERS FOREST RD, RAVENSWOOD, TAS 7250",RAVENSWOOD,4,Sensis,
2013,40049,Scottsdale High School,SCOTTSDALE,20 COPLESTONE STREET,7260,TAS,G,Secondary, 7-12,339,328.8,150,189,G,http://www.scottsdalehigh.tas.edu.au/,-41.154579,147.509643,-41.155401,147.510542,"20 COPLESTONE ST, SCOTTSDALE, TAS 7260",SCOTTSDALE,2,Sensis,
2013,40050,Parklands High School,BURNIE,ATKINS DRIVE,7320,TAS,G,Secondary, 7-10,460,459.5,228,232,G,http://education.tas.edu.au/parklandshigh/default.aspx,-41.0811023,145.8999468,-41.0811023,145.8999468,"Parklands High School (Inside Grounds), Romaine TAS 7320, Australia",ROMAINE,3,Google,
2013,40051,Reece High School,DEVONPORT,MIDDLE ROAD,7310,TAS,G,Secondary, 7-10,551,551,279,272,G,http://www.reece.tased.edu.au/,-41.189171,146.34929,-41.189171,146.34929,"41-43 Middle Road, (Reece High School-RHS), Devonport TAS 7310, Australia",DEVONPORT,3,Google,
2013,40052,Ulverstone High School,ULVERSTONE,LEVEN STREET,7315,TAS,G,Secondary, 7-10,494,494,242,252,G,http://www.ulverstonehigh.tas.edu.au/,-41.1614414,146.1725621,-41.1614414,146.1725621,"Ulverstone High School, Leven Street, Ulverstone TAS 7315, Australia",ULVERSTONE,3,Google,
2013,40053,Wynyard High School,WYNYARD,JENNER STREET,7325,TAS,G,Secondary, 7-10,318,318,159,159,G,http://education.tas.edu.au/wynyardhigh/SitePages/Home.aspx,-40.986912,145.716766,-40.986912,145.716766,"Wynyard High School, 30 Church Street, Wynyard TAS 7325, Australia",WYNYARD,3,Google,
2013,40054,Cosgrove High School,GLENORCHY,286 - 294 MAIN ROAD,7010,TAS,G,Secondary, 7-10,239,238.9,123,116,G,https://education.tas.edu.au/cosgrovehigh/Pages/Home.aspx,-42.836531,147.283167,-42.834745,147.284013,"286-294 MAIN RD, GLENORCHY, TAS 7010",GLENORCHY,2,Sensis,
2013,40056,Dover District High School,DOVER,6940 HUON HIGHWAY,7117,TAS,G,Combined, K-12,111,99.3,55,56,G,https://education.tas.edu.au/doverdistricthigh/Pages/Home.aspx,-43.311097,147.012422,-43.310192,147.013496,"6940 HUON HWY, DOVER, TAS 7117",DOVER,2,Sensis,
2013,40057,Geeveston Primary School,GEEVESTON,ARVE ROAD,7116,TAS,G,Primary, K-6,68,64,28,40,G,http://www.education.tas.gov.au/dept/contact/schoolsatoz/geeveston,-43.1627398,146.9216654,-43.1627398,146.9216654,"Geeveston Primary School, School Road, Geeveston TAS 7116, Australia",GEEVESTON,3,Google,
2013,40058,Huonville High School,HUONVILLE,82 WILMOT ROAD,7109,TAS,G,Secondary, 7-12,449,448.4,209,240,G,http://www.schools.education.tas.gov.au/huonvillehigh,-43.023695,147.046792,-43.024608,147.044949,"74-82 WILMOT RD, HUONVILLE, TAS 7109",HUONVILLE,2,Sensis,
2013,40059,Rokeby High School,ROKEBY,170 MOCKRIDGE ROAD,7019,TAS,G,Secondary, 7-10,186,185.3,88,98,G,http://education.tas.edu.au/rokebyhigh,-42.896869,147.445349,-42.895998,147.446556,"170 MOCKRIDGE RD, ROKEBY, TAS 7019",ROKEBY,2,Sensis,
2013,40060,Bothwell District High School,BOTHWELL,PATRICK STREET,7030,TAS,G,Combined, K-10,78,74.8,34,44,G,http://education.tas.edu.au/bothwelldistricthigh/,-41.9256748,147.4910827,-41.9256748,147.4910827,"Campbell Town District High School, Campbell Town TAS 7210, Australia",CAMPBELL TOWN,3,Google,
2013,40061,Deloraine High School,DELORAINE,LANSDOWNE PLACE,7304,TAS,G,Secondary, 7-12,238,237.3,115,123,G,http://education.tas.edu.au/delorainehigh/SitePages/Home.aspx,-41.5295539602,146.658082509,-41.5295539602,146.658082509,"LANSDOWNE PL, DELORAINE, TAS 7304",DELORAINE,4,Sensis,
2013,40062,Glenora District High School,BUSHY PARK,620 GORDAN RIVER ROAD,7140,TAS,G,Combined, K-12,199,193.8,102,97,G,https://education.tas.edu.au/glenoradistricthigh/Pages/Home.aspx,-42.695462,146.889098,-42.696053,146.88836,"620 GORDON RIVER RD, GLENORA, TAS 7140",GLENORA,2,Sensis,
2013,40063,New Norfolk High School,NEW NORFOLK,101 BLAIR STREET,7140,TAS,G,Secondary, 7-10,314,313.4,144,170,G,http://education.tas.edu.au/newnorfolkhigh/Pages/Home.aspx,-42.788541,147.06123,-42.787814,147.062345,"101 BLAIR ST, NEW NORFOLK, TAS 7140",NEW NORFOLK,2,Sensis,
2013,40064,Oatlands District High School,OATLANDS,CHURCH STREET,7120,TAS,G,Combined, K-10,316,303.6,147,169,G,http://education.tas.edu.au/oatlandsdistricthigh/Pages/Home.aspx,-42.2977655,147.368828,-42.2977655,147.368828,"CHURCH ST, OATLANDS, TAS 7120",OATLANDS,4,Sensis,
2013,40065,Ouse District School,OUSE,LYELL HIGHWAY,7140,TAS,G,Primary, K-6,32,30.4,21,11,G,http://education.tas.edu.au/ousedistrict/SitePages/Home.aspx,-42.482174,146.70755,-42.482174,146.70755,"Ouse District School, 6993 Lyell Highway, Ouse TAS 7140, Australia",OUSE,3,Google,
2013,40066,Rosebery District High School,ROSEBERY,MORRISBY STREET,7470,TAS,G,Combined, K-12,109,107,51,58,G,http://www.rosebery.tased.edu.au/,-41.7789887,145.5420098,-41.7789887,145.5420098,"MORRISBY ST, ROSEBERY, TAS 7470",ROSEBERY,4,Sensis,
2013,40067,St Helens District High School,ST HELENS,9 CIRCASSIAN STREET,7216,TAS,G,Combined, K-12,538,515.8,255,283,G,https://education.tas.edu.au/sthelensdistricthigh/Pages/default.aspx,-41.324545,148.246307,-41.323327,148.246473,"9 CIRCASSIAN ST, ST HELENS, TAS 7216",ST HELENS,2,Sensis,
2013,40068,St Marys District School,ST MARYS,13 GRAY ROAD,7215,TAS,G,Combined, K-12,346,335.7,159,187,H,https://education.tas.edu.au/stmarysdistrict/,-41.584816,148.189393,-41.586066,148.18773,"13 GRAY RD, ST MARYS, TAS 7215",ST MARYS,2,Sensis,
2013,40069,Triabunna District School,TRIABUNNA,15 MELBOURNE STREET,7190,TAS,G,Combined, K-10,164,158.4,70,94,G,http://education.tas.edu.au/triabunna/SitePages/Home.aspx,-42.507212,147.910353,-42.506922,147.911567,"15 MELBOURNE ST, TRIABUNNA, TAS 7190",TRIABUNNA,2,Sensis,
2013,40070,Burnie High School,COOEE,FIDLER STREET,7320,TAS,G,Secondary, 7-10,553,552,254,299,G,http://burniehigh.tas.edu.au,-41.042793,145.8671489,-41.042793,145.8671489,"Burnie High School, Fidler Street, Cooee TAS 7320, Australia",COOEE,3,Google,
2013,40071,Campbell Town District High School,CAMPBELL TOWN,BRIDGE STREET,7210,TAS,G,Combined, K-10,213,205,101,112,G,http://education.tas.edu.au/campbelltowndistricthigh/Pages/default.aspx,-41.9256748,147.4910827,-41.9256748,147.4910827,"Campbell Town District High School, Campbell Town TAS 7210, Australia",CAMPBELL TOWN,3,Google,
2013,40072,Cressy District High School,CRESSY,MAIN STREET,7302,TAS,G,Combined, K-10,339,326.8,150,189,G,http://www.cressy.tased.edu.au/,-41.6872320747,147.080032698,-41.6872320747,147.080032698,"MAIN ST, CRESSY, TAS 7302",CRESSY,4,Sensis,
2013,40073,Dunalley Primary School,DUNALLEY,20 BAY STREET,7177,TAS,G,Primary, K-6,126,117.2,66,60,G,https://education.tas.edu.au/dunalleyprimary,-42.885792,147.812115,-42.886118,147.811109,"20 BAY ST, DUNALLEY, TAS 7177",DUNALLEY,2,Sensis,
2013,40074,Exeter High School,EXETER,GLEN-ARD-MOHR ROAD,7275,TAS,G,Secondary, 7-10,370,369.9,180,190,G,http://education.tas.edu.au/exeterhigh/default.aspx,-41.2977795,146.95885,-41.2977795,146.95885,"Glen Ard Mohr Road, Exeter TAS 7275, Australia",Exeter,7,Google,
2013,40075,King Island District High School,CURRIE,21 GEORGE STREET,7256,TAS,G,Combined, K-11,182,172.4,94,88,G,http://www.kingisland.tased.edu.au,-39.927369,143.854378,-39.927464,143.854505,"21 GEORGE ST, CURRIE, TAS 7256",CURRIE,2,Sensis,
2013,40076,Kingston High School,KINGSTON,KINGSTON VIEW DRIVE,7050,TAS,G,Secondary, 7-10,662,662,309,353,G,http://www.kingstonhigh.tas.edu.au/,-42.9701017,147.2884872,-42.9701017,147.2884872,"Kingston High School, Kingston View Drive, Kingston TAS 7050, Australia",KINGSTON,3,Google,
2013,40077,Kings Meadows High School,KINGS MEADOWS,GUY STREET,7249,TAS,G,Secondary, 7-12,582,579.9,278,304,H,http://education.tas.edu.au/kingsmeadowshs/,-41.472827,147.159428,-41.472827,147.159428,"Kings Meadows High School, Kings Meadows TAS 7249, Australia",KINGS MEADOWS,3,Google,
2013,40078,Ogilvie High School,NEW TOWN,228 NEW TOWN ROAD,7008,TAS,G,Secondary, 7-10,800,798.6,800,0.0,G,https://education.tas.edu.au/ogilviehigh/default.aspx,-42.855074,147.300019,-42.853779,147.301114,"228 NEW TOWN RD, NEW TOWN, TAS 7008",NEW TOWN,2,Sensis,
2013,40080,Prospect High School,PROSPECT,RALPH STREET,7250,TAS,G,Secondary, 7-10,475,475,226,249,G,http://education.tas.edu.au/prospecthigh/Pages/Home.aspx,-41.4756372,147.1321454,-41.4756372,147.1321454,"Prospect High School, Prospect TAS 7250, Australia",PROSPECT,3,Google,
2013,40081,Riverside High School,RIVERSIDE,354 WEST TAMAR ROAD,7250,TAS,G,Secondary, 7-10,812,812,390,422,G,http://education.tas.edu.au/riversidehigh/,-41.409046,147.099579,-41.410665,147.098073,"354 WEST TAMAR RD, RIVERSIDE, TAS 7250",RIVERSIDE,2,Sensis,
2013,40082,Smithton High School,SMITHTON,MILL ROAD,7330,TAS,G,Secondary, 7-12,286,282.8,127,159,G,https://education.tas.edu.au/SmithtonHigh/,-40.8389318,145.1164117,-40.8389318,145.1164117,"Smithton High School, Smithton TAS 7330, Australia",SMITHTON,3,Google,
2013,40083,Sorell School,SORELL,GORDON STREET,7172,TAS,G,Combined, K-12,766,741.3,348,418,G,http://education.tas.edu.au/sorell,-41.163325,146.548822,-41.163325,146.548822,"Pitcairn Street, (Port Sorell Primary School), Port Sorell TAS 7307, Australia",PORT SORELL,3,Google,
2013,40084,Taroona High School,TAROONA,MEATH AVENUE,7053,TAS,G,Secondary, 7-10,806,805,359,447,G,http://www.taroonahigh.tased.edu.au,-42.9438116,147.3535874,-42.9438116,147.3535874,"Taroona High School, Taroona TAS 7053, Australia",TAROONA,3,Google,
2013,40085,Tasman District School,NUBEENA,RA 4 NUBEENA BACK ROAD,7184,TAS,G,Combined, K-12,241,233.2,119,122,G,http://education.tas.edu.au/tasman,-43.098352,147.74707,-43.095859,147.7481,"4 NUBEENA BACK RD, NUBEENA, TAS 7184",NUBEENA,2,Sensis,
2013,40086,Winnaleah District High School,WINNALEAH,MAIN STREET,7265,TAS,G,Combined, K-12,126,121.8,62,64,G,http://education.tas.edu.au/winnaleahdistricthigh,-41.0979961566,147.82127887,-41.0979961566,147.82127887,"MAIN ST, WINNALEAH, TAS 7265",WINNALEAH,4,Sensis,
2013,40087,Woodbridge School,WOODBRIDGE,3509 CHANNEL HIGHWAY,7162,TAS,G,Combined, K-10,141,139,66,75,G,http://education.tas.edu.au/woodbridge/,-43.164683,147.239668,-43.165182,147.238492,"3509 CHANNEL HWY, WOODBRIDGE, TAS 7162",WOODBRIDGE,2,Sensis,
2013,40088,Yolla District High School,YOLLA,SCHOOL LANE,7325,TAS,G,Combined, K-10,238,232.4,110,128,G,http://www.yolla.tased.edu.au/,-41.1248206206,145.719800048,-41.1248206206,145.719800048,"SCHOOL LA, YOLLA, TAS 7325",YOLLA,4,Sensis,
2013,40092,Invermay Primary School,INVERMAY,35 - 43 MAYNE STREET,7248,TAS,G,Primary, K-6,288,274,133,155,G,http://education.tas.edu.au/invermayprimary/,-41.421676,147.131233,-41.420999,147.131,"35-43 MAYNE ST, INVERMAY, TAS 7248",INVERMAY,2,Sensis,
2013,40093,Mowbray Heights Primary School,MOWBRAY,CADORNA STREET,7248,TAS,G,Primary, K-6,486,455.6,233,253,G,http://education.tas.edu.au/mowbrayheightsprimary/,-41.402863,147.133386,-41.402863,147.133386,"Mowbray Heights Primary School, 20-30 Cadorna Street, Mowbray TAS 7248, Australia",MOWBRAY,3,Google,
2013,40096,Rose Bay High School,LINDISFARNE,KAOOTA ROAD,7015,TAS,G,Secondary, 7-10,673,673,308,365,G,http://www.rosebay.tased.edu.au/,-42.8611191,147.3577737,-42.8611191,147.3577737,"Rose Bay High School, Rose Bay TAS 7015, Australia",ROSE BAY,3,Google,
2013,40097,Queechy High School,NORWOOD,161 PENQUITE ROAD,7250,TAS,G,Secondary, 7-10,669,667.2,313,356,G,http://www.queechy.tased.edu.au,-41.451969,147.176039,-41.45365,147.175387,"161 PENQUITE RD, NORWOOD, TAS 7250",NORWOOD,2,Sensis,
